date_time,water_level,sigma,o,f,r,l,quality 
2017-06-27 18:24,602.972,0.007,0,0,0,0,v
2017-06-27 18:30,603.012,0.007,0,0,0,0,v
2017-06-27 18:36,603.048,0.007,0,0,0,0,v
2017-06-27 18:42,603.074,0.003,0,0,0,0,v
2017-06-27 18:48,603.068,0.000,0,0,0,0,v
2017-06-27 18:54,603.068,0.003,0,0,0,0,v
2017-06-27 19:00,603.091,0.003,0,0,0,0,v
2017-06-27 19:06,603.094,0.000,0,0,0,0,v
2017-06-27 19:12,603.087,0.003,0,0,0,0,v
2017-06-27 19:18,603.114,0.003,0,0,0,0,v
2017-06-27 19:24,603.123,0.000,0,0,0,0,v
2017-06-27 19:30,603.107,0.007,0,0,0,0,v
2017-06-27 19:36,603.097,0.000,0,0,0,0,v
2017-06-27 19:42,603.097,0.000,0,0,0,0,v
2017-06-27 19:48,603.091,0.007,0,0,0,0,v
2017-06-27 19:54,603.084,0.003,0,0,0,0,v
2017-06-27 20:00,603.084,0.000,0,0,0,0,v
2017-06-27 20:06,603.081,0.007,0,0,0,0,v
2017-06-27 20:12,603.071,0.003,0,0,0,0,v
2017-06-27 20:18,603.068,0.000,0,0,0,0,v
2017-06-27 20:24,603.054,0.000,0,0,0,0,v
2017-06-27 20:30,603.035,0.003,0,0,0,0,v
2017-06-27 20:36,603.064,0.007,0,0,0,0,v
2017-06-27 20:42,603.087,0.000,0,0,0,0,v
2017-06-27 20:48,603.054,0.003,0,0,0,0,v
2017-06-27 20:54,603.058,0.003,0,0,0,0,v
2017-06-27 21:00,603.061,0.003,0,0,0,0,v
2017-06-27 21:06,603.045,0.003,0,0,0,0,v
2017-06-27 21:12,603.051,0.003,0,0,0,0,v
2017-06-27 21:18,603.045,0.003,0,0,0,0,v
2017-06-27 21:24,603.031,0.000,0,0,0,0,v
2017-06-27 21:30,602.999,0.007,0,0,0,0,v
2017-06-27 21:36,602.979,0.000,0,0,0,0,v
2017-06-27 21:42,602.972,0.000,0,0,0,0,v
2017-06-27 21:48,602.972,0.000,0,0,0,0,v
2017-06-27 21:54,602.989,0.003,0,0,0,0,v
2017-06-27 22:00,602.982,0.000,0,0,0,0,v
